Material;Venda_pallet;Embalagem;Quantidade_de_cxs;Data;Quantidade;Peso;Frequencia
3985;0,030381944;N1;35;44713;350;7;7
3985;0,034722222;N1;40;44562;400;8;5
3985;0,037326389;N1;43;44866;430;8,6;4
3985;0,046006944;N1;53;44774;530;10,6;5
3985;0,061631944;N1;71;44743;710;14,2;5
3985;0,065104167;N1;75;44805;750;15;9
3985;0,099826389;N1;115;44593;1150;23;14
3985;0,15625;N1;180;44835;1800;36;6
3985;0,305555556;N1;352;44652;3520;70,4;5
3985;0,317708333;N1;366;44682;3660;73,2;10
3985;0,331597222;N1;382;44621;3820;76,4;12
3986;0,001736111;N1;2;44593;20;0,4;1
3986;0,018229167;N1;21;44652;210;4,2;3
3986;0,067708333;N1;78;44562;780;15,6;1
3986;0,0703125;N1;81;44743;810;16,2;1
3986;0,1015625;N1;117;44621;1170;23,4;3
3986;0,145833333;N1;168;44805;1680;33,6;3
3986;0,297743056;N1;343;44866;3430;68,6;3
3986;0,308159722;N1;355;44835;3550;71;3
3986;0,348090278;N1;401;44713;4010;80,2;2
3986;0,355034722;N1;409;44774;4090;81,8;3
3986;0,451388889;N1;520;44682;5200;104;2
3987;0,001539063;N1;2;44621;17,73;0,355;1
3987;0,011284722;N1;13;44805;130;2,6;1
3987;0,013888889;N1;16;44743;160;3,2;1
3987;0,013888889;N1;16;44774;160;3,2;1
3987;0,014756944;N1;17;44866;170;3,4;1
3987;0;N1;0;44562;0;0;0
3987;0;N1;0;44593;0;0;0
3987;0;N1;0;44652;0;0;0
3987;0;N1;0;44682;0;0;0
3987;0;N1;0;44713;0;0;0
3987;0;N1;0;44835;0;0;0
3988;0,026041667;N1;30;44652;300;6,6;4
3988;0,051215278;N1;59;44713;590;12,98;4
3988;0,051215278;N1;59;44835;590;12,98;3
3988;0,052951389;N1;61;44805;610;13,42;4
3988;0,098971354;N1;114;44774;1140,15;25,083;8
3988;0,105902778;N1;122;44562;1220;26,84;4
3988;0,152777778;N1;176;44743;1760;38,72;3
3988;0,164930556;N1;190;44621;1900;41,8;5
3988;0,181423611;N1;209;44593;2090;45,98;9
3988;0,217013889;N1;250;44682;2500;55;8
3988;0,219618056;N1;253;44866;2530;55,66;5
3989;0,005208333;N1;6;44713;60;1,32;1
3989;0,005208333;N1;6;44743;60;1,32;1
3989;0,006944444;N1;8;44562;80;1,76;1
3989;0,006944444;N1;8;44593;80;1,76;1
3989;0,006944444;N1;8;44774;80;1,76;1
3989;0,006944444;N1;8;44835;80;1,76;1
3989;0,0078125;N1;9;44682;90;1,98;1
3989;0,009548611;N1;11;44866;110;2,42;1
3989;0;N1;0;44621;0;0;0
3989;0;N1;0;44652;0;0;0
3989;0;N1;0;44805;0;0;0
3990;0,0000503;N1;0;44593;0,58;0,013;1
3990;0,025940972;N1;30;44562;298,84;6,874;3
3990;0,034722222;N1;40;44621;400;9,2;1
3990;0,045902778;N1;53;44713;528,8;12,162;1
3990;0,06718316;N1;77;44835;773,95;17,801;1
3990;0;N1;0;44652;0;0;0
3990;0;N1;0;44682;0;0;0
3990;0;N1;0;44743;0;0;0
3990;0;N1;0;44774;0;0;0
3990;0;N1;0;44805;0;0;0
3990;0;N1;0;44866;0;0;0
3991;0,020833333;N1;24;44652;240;7,2;1
3991;0,024305556;N1;28;44682;280;8,4;1
3991;0,024665799;N1;28;44835;284,15;8,524;1
3991;0,045138889;N1;52;44743;520;15,6;2
3991;0,052083333;N1;60;44713;600;18;2
3991;0;N1;0;44774;0;0;2
3991;0;N1;0;44562;0;0;0
3991;0;N1;0;44593;0;0;0
3991;0;N1;0;44621;0;0;0
3991;0;N1;0;44805;0;0;0
3991;0;N1;0;44866;0;0;0
3992;0,011284722;N1;13;44562;130;4,68;2
3992;0,012161458;N1;14;44805;140,1;5,044;5
3992;0,013888889;N1;16;44621;160;5,76;2
3992;0,026909722;N1;31;44593;310;11,16;2
3992;0,0390625;N1;45;44743;450;16,2;3
3992;0,041666667;N1;48;44682;480;17,28;2
3992;0,046888021;N1;54;44774;540,15;19,445;4
3992;0,076388889;N1;88;44652;880;31,68;4
3992;0,078125;N1;90;44835;900;32,4;3
3992;0;N1;0;44713;0;0;0
3992;0;N1;0;44866;0;0;0
3993;0,032118056;N1;37;44866;370;8,88;2
3993;0,059895833;N1;69;44562;690;16,56;4
3993;0,069444444;N1;80;44713;800;19,2;5
3993;0,082465278;N1;95;44682;950;22,8;10
3993;0,122395833;N1;141;44593;1410;33,84;8
3993;0,134548611;N1;155;44805;1550;37,2;6
3993;0,160590278;N1;185;44774;1850;44,4;4
3993;0,205729167;N1;237;44621;2370;56,88;10
3993;0,269965278;N1;311;44743;3110;74,64;5
3993;0,277777778;N1;320;44835;3200;76,8;7
3993;0;N1;0;44652;0;0;0
3994;0,002604167;N1;3;44743;30;0,87;3
3994;0,061631944;N1;71;44621;710;20,59;4
3994;0,0859375;N1;99;44835;990;28,71;5
3994;0,118055556;N1;136;44562;1360;39,44;4
3994;0,157118056;N1;181;44593;1810;52,49;10
3994;0,174479167;N1;201;44713;2010;58,29;2
3994;0,180555556;N1;208;44774;2080;60,32;4
3994;0,206597222;N1;238;44652;2380;69,02;9
3994;0,210069444;N1;242;44682;2420;70,18;3
3994;0,282118056;N1;325;44805;3250;94,25;3
3994;0,299479167;N1;345;44866;3450;100,05;5
3995;0,011284722;N1;13;44835;130;4,16;4
3995;0,019965278;N1;23;44743;230;7,36;3
3995;0,044270833;N1;51;44682;510;16,32;3
3995;0,058159722;N1;67;44562;670;21,44;4
3995;0,077256944;N1;89;44713;890;28,48;4
3995;0,084201389;N1;97;44866;970;31,04;5
3995;0,090290799;N1;104;44774;1040,15;33,285;5
3995;0,106770833;N1;123;44593;1230;39,36;9
3995;0,111979167;N1;129;44805;1290;41,28;9
3995;0,149305556;N1;172;44652;1720;55,04;7
3995;0,149305556;N1;172;44621;1720;55,04;4
3996;0,0234375;N1;27;44774;270;10,26;4
3996;0,028645833;N1;33;44743;330;12,54;5
3996;0,109375;N1;126;44835;1260;47,88;2
3996;0,130208333;N1;150;44652;1500;57;4
3996;0,152777778;N1;176;44621;1760;66,88;4
3996;0,190972222;N1;220;44682;2200;83,6;7
3996;0,230902778;N1;266;44805;2660;101,08;6
3996;0,231770833;N1;267;44593;2670;101,46;3
3996;0,233506944;N1;269;44866;2690;102,22;7
3996;0,3125;N1;360;44562;3600;136,8;2
3996;0,377604167;N1;435;44713;4350;165,3;6
3997;0,290798611;N1;335;44774;3350;147,4;11
3997;0,3125;N1;360;44713;3600;158,4;17
3997;0,384548611;N1;443;44593;4430;194,92;19
3997;0,4921875;N1;567;44835;5670;249,48;14
3997;0,521701389;N1;601;44562;6010;264,44;14
3997;0,582465278;N1;671;44621;6710;295,24;18
3997;0,59375;N1;684;44652;6840;300,96;15
3997;0,727430556;N1;838;44805;8380;368,72;16
3997;0,791666667;N1;912;44743;9120;401,28;17
3997;0,907986111;N1;1046;44682;10460;460,24;15
3997;1,0546875;N1;1215;44866;12150;534,6;25
3998;0,000868056;N1;1;44562;10;0,44;1
3998;0,000868056;N1;1;44593;10;0,44;1
3998;0,009548611;N1;11;44743;110;4,84;2
3998;0,034722222;N1;40;44621;400;17,6;1
3998;0,061631944;N1;71;44774;710;31,24;2
3998;0,069444444;N1;80;44805;800;35,2;2
3998;0;N1;0;44652;0;0;0
3998;0;N1;0;44682;0;0;0
3998;0;N1;0;44713;0;0;0
3998;0;N1;0;44835;0;0;0
3998;0;N1;0;44866;0;0;0
3999;0,174479167;N1;201;44743;2010;94,47;9
3999;0,196180556;N1;226;44866;2260;106,22;8
3999;0,220486111;N1;254;44805;2540;119,38;16
3999;0,241319444;N1;278;44774;2780;130,66;10
3999;0,276041667;N1;318;44713;3180;149,46;10
3999;0,305555556;N1;352;44835;3520;165,44;14
3999;0,315972222;N1;364;44621;3640;171,08;18
3999;0,354166667;N1;408;44593;4080;191,76;17
3999;0,363715278;N1;419;44652;4190;196,93;15
3999;0,566840278;N1;653;44562;6530;306,91;13
3999;0,618055556;N1;712;44682;7120;334,64;13
4002;0,022569444;N1;26;44866;260;12,22;1
4002;0,024305556;N1;28;44835;280;13,16;1
4002;0,026041667;N1;30;44743;300;14,1;1
4002;0,028645833;N1;33;44713;330;15,51;1
4002;0,032118056;N1;37;44621;370;17,39;1
4002;0,033854167;N1;39;44593;390;18,33;1
4002;0,037326389;N1;43;44562;430;20,21;1
4002;0,0390625;N1;45;44774;450;21,15;1
4002;0,065972222;N1;76;44682;760;35,72;2
4002;0;N1;0;44652;0;0;0
4002;0;N1;0;44805;0;0;0
4051;0,008680556;N1;10;44621;100;3;1
4051;0,024305556;N1;28;44805;280;8,4;1
4051;0,025173611;N1;29;44593;290;8,7;2
4051;0,026909722;N1;31;44866;310;9,3;2
4051;0,032986111;N1;38;44835;380;11,4;2
4051;0,042534722;N1;49;44743;490;14,7;4
4051;0,047743056;N1;55;44774;550;16,5;2
4051;0,052083333;N1;60;44713;600;18;3
4051;0;N1;0;44562;0;0;0
4051;0;N1;0;44652;0;0;0
4051;0;N1;0;44682;0;0;0
4052;0,006076389;N1;7;44652;70;2,59;2
4052;0,008680556;N1;10;44866;100;3,7;3
4052;0,022569444;N1;26;44743;260;9,62;3
4052;0,033854167;N1;39;44774;390;14,43;3
4052;0,052083333;N1;60;44621;600;22,2;9
4052;0,056423611;N1;65;44562;650;24,05;5
4052;0,098090278;N1;113;44593;1130;41,81;8
4052;0,178819444;N1;206;44682;2060;76,22;2
4052;0,1796875;N1;207;44835;2070;76,59;3
4052;0,243489583;N1;280;44805;2805;103,785;6
4052;0,371527778;N1;428;44713;4280;158,36;6
4053;0,004340278;N1;5;44593;50;2,05;3
4053;0,004340278;N1;5;44866;50;2,05;1
4053;0,010416667;N1;12;44743;120;4,92;2
4053;0,019965278;N1;23;44805;230;9,43;3
4053;0,060763889;N1;70;44652;700;28,7;2
4053;0,089409722;N1;103;44835;1030;42,23;2
4053;0,115451389;N1;133;44713;1330;54,53;4
4053;0,174479167;N1;201;44774;2010;82,41;2
4053;0;N1;0;44621;0;0;0
4053;0;N1;0;44682;0;0;0
4053;0;N1;0;44562;-100;-4,1;1
4054;0,000868056;N1;1;44713;10;0,4;1
4054;0,000868056;N1;1;44866;10;0,4;1
4054;0,004340278;N1;5;44593;50;2;2
4054;0,020833333;N1;24;44805;240;9,6;3
4054;0,039930556;N1;46;44652;460;18,4;3
4054;0,086805556;N1;100;44562;1000;40;1
4054;0,09375;N1;108;44682;1080;43,2;3
4054;0,177083333;N1;204;44835;2040;81,6;2
4054;0,347222222;N1;400;44621;4000;160;1
4054;0;N1;0;44743;0;0;0
4054;0;N1;0;44774;0;0;0
4057;0,078125;N1;90;44562;900;46,8;1
4057;0,151375;N1;174;44652;1743,84;90,68;1
4057;0,153765625;N1;177;44835;1771,38;92,112;1
4057;0,165180556;N1;190;44713;1902,88;98,95;1
4057;0;N1;0;44593;0;0;0
4057;0;N1;0;44621;0;0;0
4057;0;N1;0;44743;0;0;0
4057;0;N1;0;44774;0;0;0
4057;0;N1;0;44805;0;0;0
4057;0;N1;0;44866;0;0;0
4057;0;N1;0;44682;-90;-4,68;1
4098;0,066146701;N1;76;44835;762,01;10,668;1
4098;0;N1;0;44562;0;0;0
4098;0;N1;0;44593;0;0;0
4098;0;N1;0;44621;0;0;0
4098;0;N1;0;44652;0;0;0
4098;0;N1;0;44682;0;0;0
4098;0;N1;0;44713;0;0;0
4098;0;N1;0;44743;0;0;0
4098;0;N1;0;44774;0;0;0
4098;0;N1;0;44805;0;0;0
4098;0;N1;0;44866;0;0;0
4099;0,001736111;N1;2;44835;20;0,36;1
4099;0,005208333;N1;6;44866;60;1,08;2
4099;0,017361111;N1;20;44562;200;3,6;1
4099;0,026041667;N1;30;44743;300;5,4;1
4099;0,061631944;N1;71;44621;710;12,78;5
4099;0,069444444;N1;80;44713;800;14,4;5
4099;0,1015625;N1;117;44805;1170;21,06;6
4099;0,106770833;N1;123;44593;1230;22,14;6
4099;0,108506944;N1;125;44774;1250;22,5;5
4099;0,166666667;N1;192;44682;1920;34,56;3
4099;0;N1;0;44652;-30;-0,54;4
4100;0,006076389;N1;7;44621;70;1,47;1
4100;0,026041667;N1;30;44774;300;6,3;1
4100;0,043402778;N1;50;44593;500;10,5;1
4100;0,043402778;N1;50;44866;500;10,5;1
4100;0,080729167;N1;93;44652;930;19,53;1
4100;0,086805556;N1;100;44805;1000;21;1
4100;0;N1;0;44562;0;0;0
4100;0;N1;0;44682;0;0;0
4100;0;N1;0;44713;0;0;0
4100;0;N1;0;44743;0;0;0
4100;0;N1;0;44835;0;0;0
4101;0,006944444;N1;8;44682;80;1,68;1
4101;0,006944444;N1;8;44713;80;1,68;1
4101;0,006944444;N1;8;44743;80;1,68;1
4101;0,008680556;N1;10;44621;100;2,1;1
4101;0,008680556;N1;10;44805;100;2,1;1
4101;0,008680556;N1;10;44866;100;2,1;1
4101;0,024305556;N1;28;44562;280;5,88;2
4101;0;N1;0;44593;0;0;0
4101;0;N1;0;44652;0;0;0
4101;0;N1;0;44774;0;0;0
4101;0;N1;0;44835;0;0;0
4103;0,000868056;N1;1;44743;10;0,3;1
4103;0,001736111;N1;2;44805;20;0,6;1
4103;0,002604167;N1;3;44621;30;0,9;3
4103;0,006076389;N1;7;44682;70;2,1;1
4103;0,037326389;N1;43;44713;430;12,9;1
4103;0,041666667;N1;48;44593;480;14,4;1
4103;0,057291667;N1;66;44562;660;19,8;3
4103;0;N1;0;44652;0;0;0
4103;0;N1;0;44774;0;0;0
4103;0;N1;0;44835;0;0;0
4103;0;N1;0;44866;0;0;0
4105;0,002604167;N1;3;44835;30;1,02;2
4105;0,016493056;N1;19;44866;190;6,46;2
4105;0,027777778;N1;32;44774;320;10,88;5
4105;0,047743056;N1;55;44652;550;18,7;4
4105;0,087673611;N1;101;44713;1010;34,34;3
4105;0,090277778;N1;104;44621;1040;35,36;6
4105;0,099826389;N1;115;44743;1150;39,1;5
4105;0,102430556;N1;118;44562;1180;40,12;6
4105;0,107638889;N1;124;44593;1240;42,16;6
4105;0,159722222;N1;184;44682;1840;62,56;4
4105;0,213541667;N1;246;44805;2460;83,64;5
4106;0,002604167;N1;3;44835;30;1,14;1
4106;0,009548611;N1;11;44652;110;4,18;4
4106;0,009548611;N1;11;44805;110;4,18;2
4106;0,011284722;N1;13;44713;130;4,94;3
4106;0,011284722;N1;13;44682;130;4,94;2
4106;0,019965278;N1;23;44621;230;8,74;3
4106;0,025173611;N1;29;44774;290;11,02;3
4106;0,033854167;N1;39;44593;390;14,82;6
4106;0,061631944;N1;71;44866;710;26,98;3
4106;0,188368056;N1;217;44743;2170;82,46;5
4106;0;N1;0;44562;0;0;0
4111;0,186631944;N1;215;44805;1075;66,65;3
4111;0,258680556;N1;298;44713;1490;92,38;5
4111;0,322916667;N1;372;44743;1860;115,32;2
4111;0,374131944;N1;431;44593;2155;133,61;4
4111;0,4296875;N1;495;44652;2475;153,45;6
4111;0,484375;N1;558;44621;2790;172,98;5
4111;0,515625;N1;594;44866;2970;184,14;4
4111;0,59375;N1;684;44835;3420;212,04;3
4111;0,703125;N1;810;44682;4050;251,1;7
4111;0,761284722;N1;877;44562;4385;271,87;6
4111;1,011284722;N1;1165;44774;5825;361,15;9
4116;0,0859375;N1;99;44682;495;40,59;1
4116;0,086805556;N1;100;44805;500;41;1
4116;0;N1;0;44562;0;0;0
4116;0;N1;0;44593;0;0;0
4116;0;N1;0;44621;0;0;0
4116;0;N1;0;44652;0;0;0
4116;0;N1;0;44713;0;0;0
4116;0;N1;0;44743;0;0;0
4116;0;N1;0;44774;0;0;0
4116;0;N1;0;44835;0;0;0
4116;0;N1;0;44866;0;0;0
4126;0,204861111;N1;236;44682;1180;28,32;23
4126;0,253472222;N1;292;44835;1460;35,04;34
4126;0,301215278;N1;347;44593;1735;41,64;29
4126;0,440972222;N1;508;44562;2540;60,96;30
4126;0,446180556;N1;514;44774;2570;61,68;36
4126;0,456597222;N1;526;44743;2630;63,12;48
4126;0,600694444;N1;692;44866;3460;83,04;33
4126;0,697916667;N1;804;44621;4020;96,48;32
4126;0,719618056;N1;829;44805;4145;99,48;37
4126;0,832465278;N1;959;44652;4795;115,08;30
4126;1,525173611;N1;1757;44713;8785;210,84;19
4128;0,090277778;N1;104;44593;520;15,6;21
4128;0,107638889;N1;124;44835;620;18,6;6
4128;0,129340278;N1;149;44682;745;22,35;23
4128;0,142361111;N1;164;44805;820;24,6;19
4128;0,171006944;N1;197;44866;985;29,55;22
4128;0,274305556;N1;316;44562;1580;47,4;27
4128;0,302083333;N1;348;44621;1740;52,2;30
4128;0,322048611;N1;371;44743;1855;55,65;50
4128;0,341145833;N1;393;44652;1965;58,95;20
4128;0,385416667;N1;444;44774;2220;66,6;35
4128;0,425347222;N1;490;44713;2450;73,5;35
4129;0,001736111;N1;2;44593;10;0,38;1
4129;0,005208333;N1;6;44713;30;1,14;5
4129;0,019965278;N1;23;44652;115;4,37;14
4129;0,064236111;N1;74;44621;370;14,06;19
4129;0,073784722;N1;85;44805;425;16,15;16
4129;0,074652778;N1;86;44835;430;16,34;17
4129;0,075520833;N1;87;44562;435;16,53;17
4129;0,080729167;N1;93;44682;465;17,67;19
4129;0,082465278;N1;95;44866;475;18,05;11
4129;0,088541667;N1;102;44774;510;19,38;22
4129;0,104166667;N1;120;44743;600;22,8;36
4130;0,140625;N1;162;44835;810;36,45;14
4130;0,207465278;N1;239;44652;1195;53,775;37
4130;0,223958333;N1;258;44593;1290;58,05;27
4130;0,310763889;N1;358;44682;1790;80,55;34
4130;0,355902778;N1;410;44774;2050;92,25;22
4130;0,368923611;N1;425;44713;2125;95,625;26
4130;0,404513889;N1;466;44621;2330;104,85;27
4130;0,427951389;N1;493;44866;2465;110,925;36
4130;0,487847222;N1;562;44743;2810;126,45;35
4130;0,534722222;N1;616;44805;3080;138,6;35
4130;0,753472222;N1;868;44562;4340;195,3;30
4131;0,000868056;N1;1;44621;5;0,225;1
4131;0,022569444;N1;26;44743;130;5,85;5
4131;0,0234375;N1;27;44652;135;6,075;3
4131;0,032118056;N1;37;44805;185;8,325;7
4131;0,041666667;N1;48;44562;240;10,8;3
4131;0,042534722;N1;49;44866;245;11,025;6
4131;0,087673611;N1;101;44593;505;22,725;4
4131;0,100694444;N1;116;44682;580;26,1;4
4131;0,121527778;N1;140;44835;700;31,5;4
4131;0,135416667;N1;156;44774;780;35,1;9
4131;0,147569444;N1;170;44713;850;38,25;4
4132;0,279513889;N1;322;44593;1610;83,72;38
4132;0,303819444;N1;350;44652;1750;91;28
4132;0,358506944;N1;413;44743;2065;107,38;51
4132;0,392361111;N1;452;44713;2260;117,52;39
4132;0,430555556;N1;496;44835;2480;128,96;33
4132;0,444444444;N1;512;44682;2560;133,12;44
4132;0,547743056;N1;631;44774;3155;164,06;44
4132;0,604166667;N1;696;44621;3480;180,96;52
4132;0,722222222;N1;832;44805;4160;216,32;25
4132;1,072048611;N1;1235;44866;6175;321,1;39
4132;1,884548611;N1;2171;44562;10855;564,46;32
4133;0,044270833;N1;51;44562;255;13,26;6
4133;0,059895833;N1;69;44805;345;17,94;9
4133;0,059895833;N1;69;44835;345;17,94;8
4133;0,065104167;N1;75;44682;375;19,5;9
4133;0,078125;N1;90;44621;450;23,4;7
4133;0,085069444;N1;98;44743;490;25,48;1
4133;0,1015625;N1;117;44866;585;30,42;9
4133;0,126736111;N1;146;44593;730;37,96;13
4133;0,220486111;N1;254;44652;1270;66,04;11
4133;0,243055556;N1;280;44774;1400;72,8;11
4133;0,355034722;N1;409;44713;2045;106,34;10
4134;0,052083333;N1;60;44805;300;18,6;15
4134;0,092881944;N1;107;44621;535;33,17;28
4134;0,229166667;N1;264;44743;1320;81,84;36
4134;0,253472222;N1;292;44652;1460;90,52;29
4134;0,336805556;N1;388;44593;1940;120,28;22
4134;0,365451389;N1;421;44713;2105;130,51;26
4134;0,4140625;N1;477;44866;2385;147,87;16
4134;0,436631944;N1;503;44562;2515;155,93;30
4134;0,486111111;N1;560;44682;2800;173,6;27
4134;0,500868056;N1;577;44835;2885;178,87;31
4134;0,611979167;N1;705;44774;3525;218,55;40
4135;0,0234375;N1;27;44621;135;8,37;7
4135;0,026041667;N1;30;44866;150;9,3;3
4135;0,026909722;N1;31;44593;155;9,61;6
4135;0,035590278;N1;41;44805;205;12,71;6
4135;0,046006944;N1;53;44835;265;16,43;4
4135;0,047743056;N1;55;44774;275;17,05;10
4135;0,055555556;N1;64;44743;320;19,84;11
4135;0,057291667;N1;66;44562;330;20,46;7
4135;0,069444444;N1;80;44713;400;24,8;12
4135;0,072048611;N1;83;44652;415;25,73;7
4135;0;N1;0;44682;0;0;0
4136;0,069444444;N1;80;44593;400;29,6;27
4136;0,112847222;N1;130;44743;650;48,1;30
4136;0,145833333;N1;168;44805;840;62,16;13
4136;0,146701389;N1;169;44562;845;62,53;26
4136;0,164930556;N1;190;44652;950;70,3;24
4136;0,192708333;N1;222;44774;1110;82,14;25
4136;0,236979167;N1;273;44682;1365;101,01;24
4136;0,245659722;N1;283;44866;1415;104,71;18
4136;0,335069444;N1;386;44713;1930;142,82;22
4136;0,397569444;N1;458;44835;2290;169,46;24
4136;0,796875;N1;918;44621;4590;339,66;30
4137;0,000868056;N1;1;44593;5;0,37;1
4137;0,003472222;N1;4;44621;20;1,48;1
4137;0,051111111;N1;59;44652;294,4;21,785;1
4137;0;N1;0;44562;0;0;0
4137;0;N1;0;44682;0;0;0
4137;0;N1;0;44713;0;0;0
4137;0;N1;0;44743;0;0;0
4137;0;N1;0;44774;0;0;0
4137;0;N1;0;44805;0;0;0
4137;0;N1;0;44835;0;0;0
4137;0;N1;0;44866;0;0;0
4138;0,042534722;N1;49;44835;245;21,07;13
4138;0,099826389;N1;115;44805;575;49,45;27
4138;0,1328125;N1;153;44713;765;65,79;17
4138;0,152777778;N1;176;44866;880;75,68;14
4138;0,176215278;N1;203;44682;1015;87,29;17
4138;0,197048611;N1;227;44593;1135;97,61;31
4138;0,231770833;N1;267;44621;1335;114,81;16
4138;0,247395833;N1;285;44562;1425;122,55;21
4138;0,295138889;N1;340;44652;1700;146,2;15
4138;0,362847222;N1;418;44743;2090;179,74;24
4138;0,407986111;N1;470;44774;2350;202,1;11
4139;0,408854167;N1;471;44562;2355;174,27;21
4139;0,641493056;N1;739;44593;3695;273,43;25
4139;0,652777778;N1;752;44713;3760;278,24;23
4139;0,729166667;N1;840;44866;4200;310,8;24
4139;0,802951389;N1;925;44652;4625;342,25;25
4139;0,939236111;N1;1082;44835;5410;400,34;20
4139;1,111111111;N1;1280;44774;6400;473,6;30
4139;1,506076389;N1;1735;44621;8675;641,95;36
4139;1,734375;N1;1998;44805;9990;739,26;20
4139;1,743055556;N1;2008;44682;10040;742,96;23
4139;1,763888889;N1;2032;44743;10160;751,84;39
4140;0,0234375;N1;27;44866;135;9,99;3
4140;0,052083333;N1;60;44835;300;22,2;7
4140;0,098090278;N1;113;44774;565;41,81;4
4140;0,103298611;N1;119;44713;595;44,03;6
4140;0,222222222;N1;256;44621;1280;94,72;5
4140;0,227430556;N1;262;44652;1310;96,94;5
4140;0,348958333;N1;402;44593;2010;148,74;3
4140;0,359375;N1;414;44743;2070;153,18;6
4140;0,643229167;N1;741;44805;3705;274,17;9
4140;0,655381944;N1;755;44682;3775;279,35;6
4140;0;N1;0;44562;0;0;0
4144;0,405381944;N1;467;44562;2335;200,81;31
4144;0,416666667;N1;480;44835;2400;206,4;32
4144;0,5859375;N1;675;44621;3375;290,25;46
4144;0,586805556;N1;676;44713;3380;290,68;37
4144;0,615451389;N1;709;44652;3545;304,87;42
4144;0,885416667;N1;1020;44866;5100;438,6;34
4144;0,967013889;N1;1114;44805;5570;479,02;52
4144;0,977430556;N1;1126;44774;5630;484,18;53
4144;0,983506944;N1;1133;44743;5665;487,19;22
4144;1,002604167;N1;1155;44682;5775;496,65;45
4144;1,433159722;N1;1651;44593;8255;709,93;41
4145;0,128472222;N1;148;44562;740;63,64;9
4145;0,130208333;N1;150;44593;750;64,5;7
4145;0,149305556;N1;172;44621;860;73,96;7
4145;0,183159722;N1;211;44743;1055;90,73;7
4145;0,221354167;N1;255;44805;1275;109,65;8
4145;0,233506944;N1;269;44835;1345;115,67;6
4145;0,2734375;N1;315;44866;1575;135,45;7
4145;0,321180556;N1;370;44652;1850;159,1;11
4145;0,327256944;N1;377;44713;1885;162,11;9
4145;0,448784722;N1;517;44774;2585;222,31;11
4145;0,607638889;N1;700;44682;3500;301;10
4149;0,286458333;N1;330;44593;1650;168,3;31
4149;0,308159722;N1;355;44652;1775;181,05;56
4149;0,456597222;N1;526;44866;2630;268,26;46
4149;0,467881944;N1;539;44562;2695;274,89;44
4149;0,484375;N1;558;44774;2790;284,58;38
4149;0,498263889;N1;574;44743;2870;292,74;57
4149;0,619791667;N1;714;44682;3570;364,14;46
4149;0,666666667;N1;768;44805;3840;391,68;72
4149;0,688368056;N1;793;44713;3965;404,43;52
4149;0,751736111;N1;866;44835;4330;441,66;60
4149;1,4296875;N1;1647;44621;8235;839,97;67
4150;0,017361111;N1;20;44593;100;10,2;6
4150;0,046006944;N1;53;44652;265;27,03;11
4150;0,049479167;N1;57;44713;285;29,07;11
4150;0,0625;N1;72;44774;360;36,72;16
4150;0,078125;N1;90;44621;450;45,9;11
4150;0,080729167;N1;93;44835;465;47,43;9
4150;0,083333333;N1;96;44743;480;48,96;15
4150;0,131076389;N1;151;44866;755;77,01;11
4150;0,134548611;N1;155;44562;775;79,05;6
4150;0,136284722;N1;157;44805;785;80,07;15
4150;0,138888889;N1;160;44682;800;81,6;17
4154;0,086746528;N1;100;44593;499,66;50,965;2
4154;0,086805556;N1;100;44562;500;51;1
4154;0,086805556;N1;100;44713;500;51;1
4154;0,086805556;N1;100;44743;500;51;1
4154;0;N1;0;44621;0;0;0
4154;0;N1;0;44652;0;0;0
4154;0;N1;0;44682;0;0;0
4154;0;N1;0;44774;0;0;0
4154;0;N1;0;44805;0;0;0
4154;0;N1;0;44835;0;0;0
4154;0;N1;0;44866;0;0;0
4165;0,174479167;N1;201;44562;1005;106,53;22
4165;0,225694444;N1;260;44593;1300;137,8;30
4165;0,266493056;N1;307;44835;1535;162,71;34
4165;0,283854167;N1;327;44652;1635;173,31;36
4165;0,296006944;N1;341;44621;1705;180,73;40
4165;0,326388889;N1;376;44713;1880;199,28;31
4165;0,361979167;N1;417;44866;2085;221,01;23
4165;0,385416667;N1;444;44743;2220;235,32;44
4165;0,3984375;N1;459;44682;2295;243,27;50
4165;0,4375;N1;504;44805;2520;267,12;39
4165;0,605034722;N1;697;44774;3485;369,41;52
4166;0,012152778;N1;14;44866;70;7,42;1
4166;0,013888889;N1;16;44713;80;8,48;5
4166;0,0234375;N1;27;44621;135;14,31;3
4166;0,026909722;N1;31;44743;155;16,43;5
4166;0,063368056;N1;73;44682;365;38,69;8
4166;0,072048611;N1;83;44835;415;43,99;4
4166;0,166666667;N1;192;44774;960;101,76;15
4166;0,173611111;N1;200;44805;1000;106;8
4166;0,184027778;N1;212;44562;1060;112,36;4
4166;0,237847222;N1;274;44652;1370;145,22;10
4166;0,297743056;N1;343;44593;1715;181,79;9
4264;0,202256944;N1;233;44743;1165;18,64;33
4264;0,2109375;N1;243;44621;1215;19,44;18
4264;0,224826389;N1;259;44805;1295;20,72;23
4264;0,274305556;N1;316;44713;1580;25,28;30
4264;0,276909722;N1;319;44682;1595;25,52;33
4264;0,297743056;N1;343;44593;1715;27,44;31
4264;0,402777778;N1;464;44562;2320;37,12;25
4264;0,6015625;N1;693;44652;3465;55,44;22
4264;0,614583333;N1;708;44866;3540;56,64;34
4264;0,717881944;N1;827;44774;4135;66,16;28
